         445153 function calls (440351 primitive calls) in 3.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      594    0.005    0.000    0.023    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:398(_extract_next_receive_event)
     2687    0.005    0.000    0.005    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
      922    0.005    0.000    0.006    0.000 /usr/lib/python3.10/contextlib.py:102(__init__)
     2687    0.005    0.000    0.005    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
      317    0.005    0.000    1.367    0.004 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_backends/sync.py:124(read)
      160    0.005    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      911    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1233    0.004    0.000    0.007    0.000 /usr/lib/python3.10/typing.py:935(_is_dunder)
     2686    0.004    0.000    0.004    0.000 /usr/lib/python3.10/_markupbase.py:36(getpos)
     1233    0.004    0.000    0.011    0.000 /usr/lib/python3.10/typing.py:986(__setattr__)
      911    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2664    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
     2539    0.004    0.000    0.004    0.000 /usr/lib/python3.10/html/parser.py:126(clear_cdata_mode)
      922    0.004    0.000    0.009    0.000 /usr/lib/python3.10/contextlib.py:139(__exit__)
     2738    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
     2704    0.004    0.000    0.004    0.000 {method 'strip' of 'str' objects}
      922    0.004    0.000    0.008    0.000 /usr/lib/python3.10/contextlib.py:130(__enter__)
      922    0.004    0.000    0.010    0.000 /usr/lib/python3.10/contextlib.py:279(helper)
      433    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      280    0.003    0.000    0.013    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:260(_process_event)
      232    0.003    0.000    0.008    0.000 /usr/lib/python3.10/typing.py:146(_type_check)
     1830    0.003    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_exceptions.py:7(map_exceptions)
       24    0.003    0.000    0.032    0.001 /usr/lib/python3.10/dataclasses.py:881(_process_class)
      144    0.003    0.000    0.024    0.000 /usr/lib/python3.10/typing.py:1016(__init__)
     1470    0.003    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:212(their_state)
        2    0.003    0.001    0.003    0.001 {built-in method _codecs.utf_8_decode}
   107/20    0.003    0.000    0.008    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
      276    0.003    0.000    0.551    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_models.py:935(iter_raw)
     1821    0.002    0.000    0.002    0.000 {built-in method builtins.chr}
      820    0.002    0.000    0.004    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:1543(get)
      154    0.002    0.000    0.010    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/typing_extensions.py:2989(_collect_type_vars)
      276    0.002    0.000    0.570    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_models.py:884(iter_bytes)
      202    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      634    0.002    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_receivebuffer.py:60(__len__)
      111    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      280    0.002    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_state.py:318(_fire_state_triggered_transitions)
      749    0.002    0.000    0.004    0.000 /usr/lib/python3.10/sre_parse.py:255(get)
      101    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      276    0.002    0.000    0.543    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_sync/http11.py:196(_receive_response_body)
      101    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      104    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      594    0.002    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_receivebuffer.py:77(maybe_extract_at_most)
      317    0.002    0.000    1.352    0.004 /usr/lib/python3.10/ssl.py:1281(recv)
      317    0.002    0.000    1.350    0.004 /usr/lib/python3.10/ssl.py:1150(read)
      280    0.002    0.000    0.006    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_state.py:275(process_event)
     1010    0.002    0.000    0.002    0.000 /usr/lib/python3.10/sre_parse.py:234(__next)
      599    0.002    0.000    0.003    0.000 /usr/lib/python3.10/sre_parse.py:165(__getitem__)
      281    0.002    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:330(_respond_to_state_changes)
    115/5    0.002    0.000    0.223    0.045 <frozen importlib._bootstrap>:1022(_find_and_load)
      942    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      135    0.002    0.000    0.003    0.000 /usr/lib/python3.10/dataclasses.py:663(_is_type)
      317    0.002    0.000    0.002    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:352(receive_data)
      109    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      264    0.001    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:1902(get_origin)
        5    0.001    0.000    0.572    0.114 {method 'join' of 'bytes' objects}
      509    0.001    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:1031(__eq__)
      303    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    104/4    0.001    0.000    0.221    0.055 <frozen importlib._bootstrap>:664(_load_unlocked)
      433    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    114/4    0.001    0.000    0.222    0.056 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       89    0.001    0.000    0.012    0.000 /usr/lib/python3.10/dataclasses.py:412(_create_fn)
      829    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       57    0.001    0.000    0.004    0.000 /usr/lib/python3.10/dataclasses.py:722(_get_field)
      154    0.001    0.000    0.002    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      317    0.001    0.000    0.004    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_receivebuffer.py:57(__bool__)
      551    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_decoders.py:237(decode)
  281/267    0.001    0.000    0.041    0.000 /usr/lib/python3.10/typing.py:306(inner)
      851    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      275    0.001    0.000    0.016    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_decoders.py:95(decode)
      120    0.001    0.000    0.009    0.000 /usr/lib/python3.10/_markupbase.py:165(parse_comment)
      127    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      148    0.001    0.000    0.007    0.000 /usr/lib/python3.10/typing.py:947(__init__)
      419    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:404(parent)
      635    0.001    0.000    0.001    0.000 /usr/lib/python3.10/ssl.py:1138(_checkClosed)
      582    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       51    0.001    0.000    0.002    0.000 /usr/lib/python3.10/sre_compile.py:292(_optimize_charset)
      101    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       47    0.001    0.000    0.002    0.000 /usr/lib/python3.10/functools.py:35(update_wrapper)
        6    0.001    0.000    0.005    0.001 /usr/lib/python3.10/enum.py:180(__new__)
      101    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      255    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      322    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_receivebuffer.py:67(_extract)
      276    0.001    0.000    0.545    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_sync/connection_pool.py:401(__iter__)
      276    0.001    0.000    0.546    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_transports/default.py:125(__iter__)
        6    0.001    0.000    0.002    0.000 /usr/lib/python3.10/enum.py:222(<setcomp>)
      276    0.001    0.000    0.544    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_sync/http11.py:330(__iter__)
      276    0.001    0.000    0.547    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_client.py:152(__iter__)
      101    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      329    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      276    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_events.py:299(__init__)
      329    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
      404    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      104    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      322    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
