         445860 function calls (441040 primitive calls) in 3.276 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1010    0.002    0.000    0.002    0.000 /usr/lib/python3.10/sre_parse.py:234(__next)
      948    0.005    0.000    0.006    0.000 /usr/lib/python3.10/contextlib.py:102(__init__)
      948    0.004    0.000    0.009    0.000 /usr/lib/python3.10/contextlib.py:130(__enter__)
      948    0.004    0.000    0.009    0.000 /usr/lib/python3.10/contextlib.py:139(__exit__)
      948    0.004    0.000    0.010    0.000 /usr/lib/python3.10/contextlib.py:279(helper)
      942    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      911    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      911    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      851    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      829    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      820    0.002    0.000    0.004    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:1543(get)
      749    0.002    0.000    0.003    0.000 /usr/lib/python3.10/sre_parse.py:255(get)
      653    0.001    0.000    0.001    0.000 /usr/lib/python3.10/ssl.py:1138(_checkClosed)
      652    0.002    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_receivebuffer.py:60(__len__)
      611    0.005    0.000    0.022    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:398(_extract_next_receive_event)
      611    0.007    0.000    0.048    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:426(next_event)
      610    0.002    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_receivebuffer.py:77(maybe_extract_at_most)
      599    0.002    0.000    0.003    0.000 /usr/lib/python3.10/sre_parse.py:165(__getitem__)
  593/592    0.005    0.000    0.010    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_readers.py:157(__call__)
      582    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      571    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      571    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      567    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_decoders.py:237(decode)
      509    0.001    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:1031(__eq__)
      433    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      433    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      419    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:404(parent)
      417    0.005    0.000    0.027    0.000 {method 'sub' of 're.Pattern' objects}
      404    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      401    0.001    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:250(match)
      388    0.001    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:1022(<genexpr>)
      357    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
  340/196    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      331    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      330    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_receivebuffer.py:67(_extract)
      329    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
      329    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
