         371992 function calls (369258 primitive calls) in 3.109 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.000    0.000    0.007    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:90(handle_startendtag)
       51    0.000    0.000    0.004    0.000 /usr/lib/python3.10/html/parser.py:122(set_cdata_mode)
       25    0.000    0.000    0.002    0.000 /usr/lib/python3.10/urllib/parse.py:379(urlparse)
       68    0.000    0.000    1.108    0.016 {method 'readline' of '_io.BufferedReader' objects}
       40    0.000    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/_collections.py:300(add)
       52    0.000    0.000    0.001    0.000 /usr/lib/python3.10/email/_policybase.py:289(_sanitize_header)
       41    0.000    0.000    0.390    0.010 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/response.py:1151(_handle_chunk)
    43/13    0.000    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
       56    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:122(_coerce_args)
       48    0.000    0.000    0.000    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/_collections.py:257(__getitem__)
       42    0.000    0.000    0.000    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/response.py:1133(_update_chunk_length)
      163    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       65    0.000    0.000    0.000    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/requests/structures.py:46(__setitem__)
  129/127    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      168    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       43    0.000    0.000    0.016    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/response.py:469(_decode)
       44    0.000    0.000    0.408    0.009 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/response.py:1044(stream)
      100    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       54    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/utils.py:52(_has_surrogates)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/client.py:1239(putheader)
       48    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/feedparser.py:78(readline)
       20    0.000    0.000    0.001    0.000 /usr/lib/python3.10/urllib/parse.py:167(hostname)
       52    0.000    0.000    0.000    0.000 /usr/lib/python3.10/types.py:176(__get__)
       44    0.000    0.000    0.408    0.009 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/requests/models.py:816(generate)
       52    0.000    0.000    0.001    0.000 /usr/lib/python3.10/email/_policybase.py:319(header_fetch_parse)
       48    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/feedparser.py:128(__next__)
       52    0.000    0.000    0.005    0.000 /usr/lib/python3.10/re.py:249(compile)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:208(_hostinfo)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:165(__getitem__)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        2    0.000    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/_collections.py:335(extend)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       15    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       12    0.000    0.000    0.001    0.000 /usr/lib/python3.10/queue.py:122(put)
       40    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/message.py:479(set_raw)
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.10/queue.py:154(get)
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
